Mesh.id,gene
D063647,125
D008258,9154
D008258,10017
D008258,10333
D008258,1147
D008258,2067
D008258,2068
D008258,2073
D008258,2074
D008258,2212
D008258,2213
D008258,2214
D008258,2876
D008258,2877
D008258,2878
D008258,2879
D008258,3383
D008258,355
D008258,3551
D008258,3552
D008258,3553
D008258,3554
D008258,3557
D008258,3558
D008258,356
D008258,3565
D008258,3566
D008258,3567
D008258,3569
D008258,3570
D008258,3576
D008258,3577
D008258,3586
D008258,3588
D008258,3592
D008258,3593
D008258,3594
D008258,3595
D008258,3596
D008258,3600
D008258,3606
D008258,3718
D008258,3978
D008258,3980
D008258,4049
D008258,4193
D008258,4609
D008258,4790
D008258,4791
D008258,4792
D008258,5292
D008258,5591
D008258,57379
D008258,581
D008258,5888
D008258,595
D008258,596
D008258,5970
D008258,598
D008258,604
D008258,6387
D008258,641
D008258,672
D008258,675
D008258,7097
D008258,7099
D008258,7124
D008258,7157
D008258,7186
D008258,7189
D008258,7412
D008258,7422
D008258,7515
D008258,7516
D008258,7517
D008258,7518
D008258,7850
D008258,834
D008258,836
D008258,839
D008258,840
D008258,841
D008258,842
D008258,8717
D008258,8737
D008258,8764
D008258,8772
D008258,920
D008258,9540
D014846,3119
D014846,3123
D014846,3552
D014846,3553
D014846,3557
D014846,3558
D014846,3569
D014846,4846
D014820,7299
D014820,3002
D014820,3559
D014820,22861
D014820,10846
D014820,1234
D014820,1312
D014820,1493
D014820,1636
D014820,1906
D014820,2099
D014820,2944
D014820,2950
D014820,2952
D014820,3082
D014820,3105
D014820,3106
D014820,3107
D014820,3117
D014820,3119
D014820,3123
D014820,3126
D014820,3133
D014820,3135
D014820,3458
D014820,355
D014820,3557
D014820,356
D014820,3565
D014820,3586
D014820,3815
D014820,4254
D014820,4353
D014820,4780
D014820,5156
D014820,5696
D014820,5743
D014820,6347
D014820,6775
D014820,6890
D014820,7048
D014820,7124
D014820,7421
D014820,7494
D014820,780
D014820,847
D014820,920
D014657,3105
D014657,3106
D014657,867
D014657,5265
D014657,10
D014657,10019
D014657,1021
D014657,10257
D014657,10544
D014657,10891
D014657,12
D014657,121278
D014657,1232
D014657,1234
D014657,1392
D014657,1401
D014657,1493
D014657,1543
D014657,1557
D014657,1559
D014657,1594
D014657,1636
D014657,170679
D014657,183
D014657,185
D014657,1906
D014657,2065
D014657,2099
D014657,2113
D014657,2147
D014657,2153
D014657,2205
D014657,2206
D014657,2212
D014657,2213
D014657,2214
D014657,2215
D014657,2244
D014657,2335
D014657,2532
D014657,2693
D014657,284
D014657,2944
D014657,2952
D014657,3002
D014657,3091
D014657,3107
D014657,3115
D014657,3117
D014657,3119
D014657,3122
D014657,3123
D014657,3126
D014657,3133
D014657,3135
D014657,3162
D014657,3172
D014657,3383
D014657,341
D014657,3455
D014657,3458
D014657,3459
D014657,348
D014657,3552
D014657,3553
D014657,3554
D014657,3557
D014657,3558
D014657,3559
D014657,3560
D014657,3565
D014657,3566
D014657,3569
D014657,3570
D014657,3576
D014657,3577
D014657,3586
D014657,3592
D014657,3593
D014657,3595
D014657,3606
D014657,3673
D014657,3674
D014657,3689
D014657,3690
D014657,3791
D014657,3952
D014657,3953
D014657,3998
D014657,4049
D014657,4050
D014657,4088
D014657,4193
D014657,4277
D014657,4282
D014657,4312
D014657,4313
